# t x y z qx qy qz qw
1520531832.051211596 0.709679931 -0.248693825 1.312185677 -0.015654025 0.005785045 -0.006426439 0.999839832
1520531832.101212740 0.710502389 -0.245334448 1.311571034 -0.013725085 0.009756959 -0.007497177 0.999829807
1520531832.151214600 0.711980198 -0.242897389 1.309986931 -0.013824966 0.010806498 -0.008796174 0.999807030
1520531832.201216698 0.713170493 -0.238311850 1.307238849 -0.015599680 0.008566652 -0.010065734 0.999790973
1520531832.251217604 0.714056095 -0.234677177 1.305328232 -0.017618421 0.003829314 -0.010127640 0.999785890
1520531832.301213026 0.715257995 -0.232007545 1.306085882 -0.017616175 -0.002647156 -0.009196152 0.999799157
1520531832.351213932 0.715901145 -0.227270924 1.302502593 -0.014073377 -0.008207519 -0.007405917 0.999840339
1520531832.401216030 0.716211416 -0.223620192 1.297607993 -0.007652444 -0.012287263 -0.005006459 0.999882891
1520531832.451216936 0.715384289 -0.221996408 1.290137825 0.001008438 -0.015956460 -0.003138928 0.999867618
1520531832.501219034 0.712718229 -0.222572240 1.283138019 0.012290707 -0.018375171 -0.002580436 0.999752743
1520531832.551219940 0.712642949 -0.221526152 1.276502232 0.022203551 -0.020927742 -0.003936070 0.999526635
1520531832.601222038 0.714434703 -0.221262899 1.274084590 0.028217029 -0.022245788 -0.005528273 0.999338527
1520531832.651223898 0.715238848 -0.221398263 1.274652844 0.027922111 -0.023296792 -0.006621977 0.999316289
1520531832.701261282 0.715890056 -0.222686700 1.275913248 0.022907723 -0.022253169 -0.007448871 0.999462235
1520531832.751263142 0.715971561 -0.224339780 1.277814561 0.016220134 -0.019785720 -0.008719481 0.999634535
1520531832.801264286 0.715407251 -0.226542748 1.280051613 0.010630769 -0.017858444 -0.009185376 0.999741411
1520531832.851266146 0.712348884 -0.228595715 1.284664429 0.007901396 -0.016418235 -0.009109491 0.999792831
1520531832.901268244 0.711917072 -0.229434852 1.284705052 0.006671813 -0.015207611 -0.009554109 0.999816649
1520531832.951270103 0.709940805 -0.231344957 1.284254118 0.005352486 -0.014533021 -0.010550155 0.999824771
1520531833.001271248 0.709507521 -0.231586186 1.284264376 0.003340406 -0.013288950 -0.011355220 0.999841228
1520531833.051272154 0.709067626 -0.232179619 1.283712172 -0.000259030 -0.012767886 -0.012185389 0.999844629
1520531833.101310492 0.708334810 -0.232282164 1.283292691 -0.003725364 -0.012474603 -0.012206487 0.999840647
1520531833.151311398 0.708150927 -0.232015302 1.282948829 -0.004969708 -0.013145708 -0.011602528 0.999833894
1520531833.201312542 0.708371120 -0.231559925 1.282495377 -0.003396747 -0.013769102 -0.010937768 0.999839667
1520531833.251314402 0.708943127 -0.231277827 1.281984752 -0.000549045 -0.014056254 -0.010042759 0.999850439
1520531833.301315546 0.709502753 -0.231105369 1.281393961 0.001207589 -0.014102043 -0.009605600 0.999853453
1520531833.351316452 0.709677372 -0.232816971 1.281641092 0.001076346 -0.014005077 -0.008914764 0.999861117
1520531833.401318550 0.711646170 -0.232409263 1.283450599 -0.001834920 -0.014126007 -0.008537016 0.999862291
1520531833.451322556 0.709310457 -0.232217981 1.283486060 -0.005107598 -0.014476588 -0.007091247 0.999856622
1520531833.501289129 0.709788738 -0.230879457 1.283335163 -0.006775156 -0.015271239 -0.005810036 0.999843654
1520531833.551373005 0.709912208 -0.229971221 1.282868523 -0.005465816 -0.015542045 -0.004992517 0.999852028
1520531833.601291180 0.709795800 -0.229243913 1.282117638 -0.002137676 -0.015936988 -0.004159832 0.999862409
1520531833.651293039 0.709593855 -0.228727269 1.281339784 0.001568125 -0.016146115 -0.003220220 0.999863702
1520531833.701294184 0.709325405 -0.228032252 1.280998896 0.004236215 -0.016177918 -0.002443721 0.999857582
1520531833.751296043 0.709033589 -0.227446111 1.280728733 0.005217711 -0.016122984 -0.001444100 0.999855386
1520531833.801298141 0.708701896 -0.226989435 1.280639910 0.004358171 -0.014889520 -0.000785285 0.999879495
1520531833.851299047 0.708312975 -0.226459920 1.280695378 0.002539751 -0.012836298 -0.000519160 0.999914270
1520531833.901303530 0.708388158 -0.225875004 1.280771261 0.000985694 -0.011588217 0.000136195 0.999932388
1520531833.951304436 0.707809706 -0.225071900 1.280704028 0.001333506 -0.011519834 0.000861474 0.999932736
1520531834.001306534 0.707005036 -0.224318233 1.280432349 0.003331312 -0.011912823 0.000809796 0.999923514
1520531834.051307440 0.705954495 -0.223762603 1.280149217 0.005127865 -0.012864040 0.000677837 0.999904314
1520531834.101309538 0.704901943 -0.223375438 1.280113446 0.005809314 -0.013590348 0.000323637 0.999890761
1520531834.151311398 0.703767117 -0.223228060 1.280332124 0.005718800 -0.014135041 -0.000368020 0.999883641
1520531834.201312542 0.706452697 -0.224903713 1.281400105 0.005619413 -0.014368930 -0.001632357 0.999879546
1520531834.251314402 0.705415562 -0.225654558 1.281016151 0.005814126 -0.014425086 -0.003036361 0.999874477
1520531834.301315546 0.702892885 -0.223795621 1.280599096 0.006356640 -0.013477794 -0.003870615 0.999881162
1520531834.351326704 0.700358464 -0.224439652 1.282168760 0.006800561 -0.012618943 -0.004868897 0.999885516
1520531834.401327610 0.697514131 -0.225175049 1.281748793 0.006684288 -0.011666859 -0.005384717 0.999895412
1520531834.451329708 0.694456826 -0.225421988 1.280588357 0.006929199 -0.010645652 -0.005834963 0.999901858
1520531834.501331806 0.692074691 -0.225943588 1.278686613 0.008292983 -0.009801679 -0.006355209 0.999897455
1520531834.551333666 0.690122705 -0.224702220 1.273115214 0.009993703 -0.008752191 -0.007165740 0.999886387
1520531834.601334572 0.688774165 -0.224400745 1.271717067 0.012442022 -0.006830212 -0.007000319 0.999874348
1520531834.651336670 0.689249792 -0.225395489 1.270475518 0.015032040 -0.005205531 -0.006215499 0.999853929
1520531834.701338768 0.691578133 -0.228689804 1.269975939 0.016568760 -0.005478814 -0.004556788 0.999837118
1520531834.751351118 0.696307926 -0.233140301 1.270035363 0.017489851 -0.006734538 -0.002516468 0.999821241
1520531834.801352024 0.704474761 -0.237781919 1.270158822 0.019210735 -0.007453757 -0.000919228 0.999787570
1520531834.851353168 0.712125140 -0.242376742 1.271878838 0.020162311 -0.006452348 0.000320787 0.999776227
1520531834.901355028 0.721804873 -0.249245627 1.274099159 0.019474917 -0.006104333 0.001576806 0.999790100
1520531834.951356173 0.731169153 -0.254292262 1.278825044 0.018897675 -0.004596400 0.002814384 0.999806916
1520531835.001358032 0.743746899 -0.261435705 1.285707698 0.017542282 -0.003139636 0.003242674 0.999836197
1520531835.051360130 0.759514807 -0.268182306 1.291936854 0.014610415 -0.003338147 0.002884403 0.999883121
1520531835.101361990 0.778939276 -0.278457797 1.297437738 0.010587358 -0.003484245 0.000366393 0.999937538
1520531835.151450157 0.802950534 -0.289033335 1.307708656 0.006003513 -0.002510049 -0.003553208 0.999972380
1520531835.201395035 0.830137203 -0.301685701 1.319240937 -0.000206797 -0.001645366 -0.005705524 0.999981861
1520531835.251397133 0.862155941 -0.314351800 1.331703746 -0.008105306 -0.002261197 -0.007060288 0.999939844
1520531835.301399231 0.896749019 -0.323338800 1.354758042 -0.015751234 -0.003858986 -0.006178975 0.999849348
1520531835.351400137 0.931863834 -0.334382959 1.373155100 -0.026717323 -0.007108672 -0.003154570 0.999612626
1520531835.401402235 0.972936625 -0.344971664 1.386957812 -0.038975560 -0.010129911 -0.000283242 0.999188411
1520531835.451403141 1.010420476 -0.353018626 1.400889135 -0.050173203 -0.012896829 0.004745928 0.998645650
1520531835.501405239 1.048234007 -0.363712022 1.400011384 -0.059539475 -0.016290186 0.011839244 0.998023096
1520531835.551324844 1.087937751 -0.369982976 1.403825398 -0.064189902 -0.018376655 0.018605658 0.997594757
1520531835.601326704 1.130436092 -0.380553524 1.400597028 -0.067013804 -0.020400389 0.027048905 0.997176672
1520531835.651327848 1.164756437 -0.389896077 1.385386747 -0.067126714 -0.023056780 0.037218930 0.996783321
1520531835.701329708 1.201785111 -0.393128944 1.370697462 -0.062746416 -0.025242696 0.047127682 0.996596702
1520531835.751330853 1.239224995 -0.393721999 1.353425435 -0.055045561 -0.026113533 0.058446151 0.996429227
1520531835.801332712 1.272902402 -0.393078478 1.329341841 -0.046769493 -0.024077543 0.068911645 0.996234515
1520531835.851334810 1.306291528 -0.393332683 1.304022980 -0.040159986 -0.017839522 0.076375518 0.996110399
1520531835.901335716 1.332752687 -0.389898049 1.275748918 -0.036836353 -0.012845924 0.083023875 0.995783863
1520531835.951250315 1.357178143 -0.384900065 1.247808833 -0.036696552 -0.005408908 0.087169412 0.995502137
1520531836.001252413 1.373890957 -0.380032563 1.217233292 -0.037085314 0.001141278 0.091005699 0.995158660
1520531836.051253319 1.380697783 -0.371181362 1.191412132 -0.035335431 0.007750401 0.094632274 0.994854327
1520531836.101255417 1.393316790 -0.363317068 1.167147764 -0.031286421 0.012720680 0.099080480 0.994506280
1520531836.151256323 1.404965318 -0.355646054 1.148788751 -0.024920018 0.013690880 0.104462138 0.994122300
1520531836.201258421 1.413505381 -0.349277675 1.137371309 -0.018872452 0.014471249 0.110287051 0.993614774
1520531836.251259327 1.417077989 -0.345915187 1.135430742 -0.016541534 0.016986518 0.116817364 0.992870226
1520531836.301262379 1.414282504 -0.345065902 1.138792961 -0.019810052 0.021016907 0.121476448 0.992174038
1520531836.351403236 1.402633245 -0.346050920 1.161756842 -0.024934785 0.021938049 0.123877438 0.991741355
1520531836.401404142 1.395315675 -0.348338867 1.189819383 -0.033134858 0.017543123 0.122815448 0.991720958
1520531836.451405048 1.377398706 -0.352144151 1.228185132 -0.041955646 0.009575026 0.117565078 0.992132670
1520531836.501407146 1.359309699 -0.355253901 1.272732449 -0.051265749 -0.000345463 0.110290017 0.992576254
1520531836.551409245 1.331757857 -0.359632229 1.315908593 -0.060373034 -0.011067084 0.103052631 0.992779901
1520531836.601410151 1.307013030 -0.363428175 1.360851100 -0.068635400 -0.020174665 0.096435686 0.992764620
1520531836.651412249 1.282462660 -0.365767119 1.404192876 -0.076995613 -0.028778976 0.092252292 0.992336953
1520531836.701413155 1.249630681 -0.362963350 1.446799881 -0.084412412 -0.033941986 0.089346750 0.991836898
1520531836.751448154 1.208353770 -0.359723164 1.486209880 -0.090435141 -0.035536103 0.086019392 0.991543585
1520531836.801314831 1.164996021 -0.357000315 1.513514963 -0.094592891 -0.035096525 0.083374742 0.991397928
1520531836.851316690 1.124597802 -0.356069444 1.531803320 -0.094995194 -0.034757442 0.077765851 0.991826782
1520531836.901317835 1.079822374 -0.355315277 1.535657552 -0.091886954 -0.034389383 0.071475690 0.992605794
1520531836.951319695 1.039626960 -0.357482663 1.528465883 -0.084356978 -0.032575915 0.065123025 0.993771129
1520531837.001321793 0.997204316 -0.356518738 1.510809862 -0.073298221 -0.031178921 0.058163639 0.995123769
1520531837.051322699 0.954824039 -0.359502262 1.486056964 -0.060138098 -0.028839037 0.047643861 0.996635142
1520531837.101324797 0.911819594 -0.359981927 1.451594251 -0.048034951 -0.028257860 0.034161104 0.997860969
1520531837.151325703 0.871358561 -0.360618051 1.416839406 -0.037193232 -0.028447765 0.021595732 0.998669672
1520531837.201212645 0.829343665 -0.362269527 1.380369263 -0.026180712 -0.024891903 0.009602737 0.999300794
1520531837.251213551 0.785515251 -0.361569680 1.342812239 -0.012339188 -0.019133271 -0.001632868 0.999739040
1520531837.301215649 0.741974039 -0.360429444 1.307484158 0.004401572 -0.014416464 -0.010550699 0.999830585
1520531837.351216555 0.697078105 -0.358168961 1.271986912 0.023500990 -0.013163355 -0.015530271 0.999516041
1520531837.401218414 0.652778072 -0.354526403 1.242792308 0.046015994 -0.016300398 -0.016089231 0.998678608
1520531837.451220512 0.607834837 -0.350252129 1.213950303 0.069962238 -0.019682414 -0.015386099 0.997236433
1520531837.501221418 0.560984791 -0.347890794 1.185748506 0.092758506 -0.023391743 -0.016411832 0.995278884
1520531837.551223516 0.514518189 -0.345689683 1.161224254 0.110982684 -0.028531245 -0.019514002 0.993220486
1520531837.601508141 0.463217324 -0.343487406 1.140374920 0.121984783 -0.030300509 -0.024342613 0.991770840
1520531837.651510239 0.406893206 -0.343474916 1.123793318 0.124778125 -0.027681731 -0.029793612 0.991351069
1520531837.701512337 0.354248880 -0.341711140 1.116674381 0.120524166 -0.020857689 -0.039820663 0.991691719
1520531837.751514196 0.302385147 -0.341642207 1.117786270 0.112073073 -0.013309868 -0.053745911 0.992156340
1520531837.801515341 0.250748764 -0.343732164 1.128312860 0.103487246 -0.005772388 -0.068302236 0.992265699
1520531837.851516247 0.200322759 -0.343704363 1.142355729 0.096374849 0.004890546 -0.081607037 0.991982251
1520531837.901518345 0.151744723 -0.348003393 1.165651793 0.088810520 0.019271466 -0.094290399 0.991387902
1520531837.951520205 0.104261094 -0.352049663 1.192625754 0.077854524 0.027415115 -0.106661976 0.990863056
1520531838.002191782 0.056374883 -0.357496010 1.225673093 0.065708600 0.031274260 -0.118180962 0.990322178
1520531838.052193642 0.018451856 -0.362812815 1.262545565 0.054125558 0.033497925 -0.127176122 0.989835131
1520531838.102194786 -0.018170832 -0.367474892 1.298797207 0.043326406 0.033849937 -0.133198751 0.989563357
1520531838.152196646 -0.050843594 -0.372847689 1.336560856 0.033250376 0.033507083 -0.135435822 0.989660891
1520531838.202197790 -0.082874161 -0.375574747 1.371536381 0.022678996 0.031733189 -0.134065505 0.990204359
1520531838.252199650 -0.115644288 -0.380875491 1.404848574 0.011572908 0.026765046 -0.127677453 0.991386723
1520531838.302200794 -0.139590282 -0.383694376 1.436749091 0.000176940 0.024286192 -0.118677573 0.992635973
1520531838.352207661 -0.168103556 -0.381848962 1.465060997 -0.011413552 0.025605504 -0.109651686 0.993574890
1520531838.401600122 -0.193426679 -0.378037402 1.489577689 -0.021855508 0.030397065 -0.102518008 0.994026470
1520531838.451601982 -0.211603589 -0.368680117 1.511070273 -0.030657306 0.034766787 -0.096931301 0.994211058
1520531838.501603127 -0.218232358 -0.355657066 1.521777084 -0.038138038 0.037272642 -0.089783845 0.994533023
1520531838.551604986 -0.233138987 -0.338066948 1.524907379 -0.043432766 0.038624964 -0.081817530 0.994951274
1520531838.601607084 -0.242463924 -0.318204509 1.523607053 -0.043036704 0.040627834 -0.075282368 0.995403846
1520531838.651607990 -0.252836377 -0.297483184 1.513629889 -0.036909217 0.040418939 -0.073268475 0.995809315
1520531838.701610088 -0.265206482 -0.274989455 1.498849010 -0.027758264 0.036199387 -0.073978092 0.996216387
1520531838.751610994 -0.269931742 -0.251234633 1.479879295 -0.016931740 0.029516601 -0.075521846 0.996563434
1520531838.801613092 -0.267351337 -0.226626690 1.457770599 -0.006984522 0.023310909 -0.076781535 0.996751402
1520531838.851325035 -0.260428192 -0.203264772 1.432035593 0.001069859 0.020341953 -0.077288516 0.996800704
1520531838.901326895 -0.258413813 -0.178398476 1.408832904 0.006875508 0.019031598 -0.078197854 0.996732938
1520531838.951328039 -0.249663815 -0.153772399 1.382434707 0.010641922 0.018966604 -0.078793735 0.996653870
1520531839.001329899 -0.240588652 -0.129461591 1.355492406 0.014527225 0.017784227 -0.078405248 0.996656684
1520531839.051331997 -0.226573060 -0.106815664 1.329103627 0.020254954 0.014449149 -0.078021333 0.996640980
1520531839.101332903 -0.206824609 -0.086888108 1.304226535 0.029957221 0.013130606 -0.077183674 0.996480241
1520531839.151335001 -0.184895681 -0.067127118 1.277125111 0.042523170 0.016742616 -0.074302986 0.996188159
1520531839.201335907 -0.158162697 -0.048347859 1.249473596 0.055418622 0.023731324 -0.070606101 0.995681251
1520531839.251461983 -0.130757535 -0.028981124 1.220751248 0.066445718 0.027677329 -0.064860333 0.995294667
1520531839.301464081 -0.103651439 -0.013078832 1.197420831 0.078330449 0.029314604 -0.058455281 0.994780151
1520531839.351464987 -0.075896519 0.000618013 1.173246342 0.090044563 0.029807567 -0.049000327 0.994285274
1520531839.401467085 -0.041970142 0.010720872 1.152007943 0.101895292 0.033832880 -0.040195402 0.993407035
1520531839.451468945 -0.010822267 0.015956145 1.140235456 0.109821192 0.040068041 -0.031821031 0.992632995
1520531839.501470089 0.022671147 0.018418498 1.134225454 0.111971708 0.046172170 -0.021401228 0.992407370
1520531839.551471949 0.058888014 0.012342132 1.136963953 0.109630623 0.047713507 -0.009038813 0.992785117
1520531839.601473093 0.092241705 0.001100826 1.144768063 0.104039093 0.045550782 0.001794183 0.993527439
1520531839.651727676 0.128235297 -0.014717670 1.160274462 0.096308788 0.039877661 0.010075857 0.994501507
1520531839.701729536 0.160813372 -0.035348508 1.182851555 0.085999363 0.033896072 0.016433242 0.995582533
1520531839.751730680 0.194055086 -0.058736988 1.213241630 0.071765685 0.027201310 0.022567275 0.996795350
1520531839.801731586 0.227760377 -0.081301063 1.246801570 0.053367000 0.021915585 0.028000076 0.997942173
1520531839.851733685 0.259002088 -0.103011926 1.286439321 0.031075192 0.017995790 0.033608484 0.998789883
1520531839.901734591 0.290837563 -0.124731790 1.331295355 0.005609874 0.014298054 0.039179859 0.999114198
1520531839.951736689 0.321747767 -0.145329723 1.376403879 -0.021299655 0.014875577 0.042502542 0.998758797
1520531840.001737595 0.352845079 -0.162395928 1.420159749 -0.044903024 0.015392135 0.045811931 0.997821874
1520531840.051596642 0.380386630 -0.178556357 1.462295238 -0.061946725 0.017526854 0.049008329 0.996721184
1520531840.101597786 0.407718021 -0.195880511 1.499484573 -0.070235689 0.019292527 0.052332122 0.995969707
1520531840.151599646 0.434463774 -0.214954691 1.531390039 -0.068162925 0.016415342 0.053657964 0.996095291
1520531840.201601744 0.459535172 -0.237445805 1.554520272 -0.059256278 0.012931314 0.054367623 0.996677158
1520531840.251602650 0.488702084 -0.259110817 1.566455712 -0.047996843 0.009606693 0.051957713 0.997448746
1520531840.301604748 0.517757028 -0.281598396 1.568725163 -0.040803603 0.009054162 0.048937697 0.997926675
1520531840.351605654 0.545433988 -0.302544692 1.563464840 -0.040258588 0.009749671 0.044778366 0.998137477
1520531840.401607752 0.575824057 -0.320795936 1.549481141 -0.044429181 0.009674777 0.040677767 0.998136772
1520531840.451348782 0.604641830 -0.337471966 1.529952476 -0.047763696 0.011691751 0.036777405 0.998113124
1520531840.501350880 0.634168776 -0.352186154 1.506721176 -0.045864200 0.012651230 0.032302568 0.998344793
1520531840.551351786 0.666708071 -0.364872299 1.476349389 -0.036026499 0.012093476 0.028120697 0.998881459
1520531840.601353884 0.692683096 -0.374525946 1.442985025 -0.017255146 0.012426341 0.026009527 0.999435125
1520531840.651355743 0.727356032 -0.381275295 1.408065229 0.006881753 0.010246663 0.023879745 0.999639031
1520531840.701356888 0.762432855 -0.385480152 1.371912936 0.030858260 0.005792941 0.023469570 0.999230933
1520531840.751358747 0.794498043 -0.387670914 1.334626435 0.053293413 0.001597944 0.025033775 0.998263971
1520531840.801359892 0.833115161 -0.388644460 1.298534098 0.073316537 0.000939911 0.029507356 0.996871681
1520531840.851477146 0.871514277 -0.388833758 1.265189834 0.089844957 0.004747041 0.036387521 0.995279240
1520531840.901479244 0.911555725 -0.387936448 1.233836038 0.101686558 0.007437839 0.046428391 0.993704196
1520531840.951480150 0.948931431 -0.386148286 1.206029431 0.110995786 0.006593490 0.058019205 0.992103654
1520531841.001482248 0.991712553 -0.384377344 1.181285999 0.118486821 0.002267779 0.071456492 0.990378848
1520531841.051483154 1.033067258 -0.383426460 1.163127370 0.125362101 -0.000789330 0.088130062 0.988188546
1520531841.101485252 1.079395701 -0.386140141 1.149103024 0.129412958 -0.001711107 0.106554614 0.985847521
1520531841.151487112 1.129963780 -0.391937792 1.143627064 0.128572425 -0.003749113 0.127255485 0.983494716
1520531841.201488256 1.179575356 -0.397846664 1.144363858 0.124548706 -0.006757662 0.155812281 0.979879763
1520531841.251489162 1.229223427 -0.404185832 1.156540817 0.119994317 -0.009546060 0.188800036 0.974610179
1520531841.302306890 1.274581525 -0.411435020 1.175546656 0.112409549 -0.011827427 0.219362343 0.969074250
1520531841.352307796 1.318687298 -0.415264741 1.195212806 0.100003039 -0.017218732 0.245303344 0.964120651
1520531841.402314663 1.358770396 -0.421982648 1.222356766 0.084182749 -0.022601067 0.266247845 0.959955466
1520531841.452311754 1.387929255 -0.429576687 1.252526578 0.065572413 -0.026584159 0.283649367 0.956313671
1520531841.502312660 1.415730680 -0.434582496 1.281292443 0.047619858 -0.033645685 0.296744000 0.953175070
1520531841.552314758 1.432737732 -0.443104730 1.311563441 0.034233893 -0.042675343 0.304511603 0.950936015
1520531841.602417707 1.445381256 -0.453157603 1.339539618 0.023696524 -0.054081417 0.307179241 0.949818460
1520531841.652317762 1.451441433 -0.462442951 1.367036024 0.013636632 -0.067147796 0.304161490 0.950153318
1520531841.701906681 1.447699916 -0.474156179 1.393256195 0.003259763 -0.081646798 0.295876818 0.951724747
1520531841.751908541 1.443452177 -0.486198374 1.417399709 -0.006526937 -0.097194707 0.282535560 0.954297548
1520531841.801910639 1.428555853 -0.500442972 1.438132714 -0.014656462 -0.112515781 0.264754793 0.957616840
1520531841.851911545 1.410565292 -0.515036566 1.453534809 -0.019838299 -0.127517268 0.242585364 0.961507811
1520531841.901913643 1.386034141 -0.530478143 1.462278280 -0.022268944 -0.140596254 0.215365659 0.966102931
1520531841.951914549 1.355308594 -0.545357702 1.463579708 -0.022254342 -0.150656365 0.185430834 0.970784538
1520531842.001916647 1.318375163 -0.557860706 1.458655436 -0.018225477 -0.156614906 0.154044386 0.975402773
1520531842.051917553 1.280624051 -0.568397760 1.448364633 -0.010219344 -0.158882615 0.121389368 0.979753126
1520531842.101482630 1.238626042 -0.576908884 1.432938164 -0.000398052 -0.158540142 0.091730357 0.983081662
1520531842.151483536 1.193412983 -0.580261950 1.414738601 0.010428841 -0.155659576 0.065435928 0.985586053
1520531842.201485634 1.146048595 -0.580309169 1.393199307 0.020515732 -0.151231122 0.041146555 0.987428940
